User ID,Activity Level,Home Type,Grooming Preference,Time Available,Experience Level,Pet ID,Pet Description,Pet Temperament,Pet Popularity,Pet Min Height,Pet Max Height,Pet Min Weight,Pet Max Weight,Pet Min Expectancy,Pet Max Expectancy,Pet Group,Grooming Frequency Value,Grooming Frequency Category,Shedding Value,Shedding Category,Energy Level Value,Energy Level Category,Trainability Value,Trainability Category,Demeanor Value,Demeanor Category
1,High,House,High,Full-time,Experienced,119,"A well-bred Giant Schnauzer closely resembles the Standard Schnauzer—only bigger. As their name suggests, Giants are imposing.A male might stand as high as 27.5 inches at the shoulder and weigh 95 pounds. The muscular, substantial body is, as the breed’s fanciers put it, a “bold and valiant figure of a dog.” The double coat is either solid black or “pepper and salt.” Familiar characteristics of the Mini, Standard, and Giant are a harsh beard and eyebrows, accentuating a keen, sagacious expression. The Giant Schnauzer is a larger and more powerful version of the Standard Schnauzer, and he should, as the breed standard says, be a “bold and valiant figure of a dog.” Great intelligence and loyalty make him a stellar worker and companion.","Loyal, Alert, Trainable",78,59.69,69.85,24.947580350000003,38.55535145,12,15,Working Group,0.8,Daily Brushing,0,,1,Needs Lots of Activity,0.8,Easy Training,0.6,Alert/Responsive
2,High,Apartment,High,Limited,First-time owner,4,"Akitas are burly, heavy-boned spitz-type dogs of imposing stature. Standing 24 to 28 inches at the shoulder, Akitas have a dense coat that comes in several colors, including white. The head is broad and massive, and is balanced in the rear by a full, curled-over tail. The erect ears and dark, shining eyes contribute to an expression of alertness, a hallmark of the breed.Akitas are quiet, fastidious dogs. Wary of strangers and often intolerant of other animals, Akitas will gladly share their silly, affectionate side with family and friends. They thrive on human companionship. The large, independent-thinking Akita is hardwired for protecting those they love. They must be well socialized from birth with people and other dogs. Akitas are muscular, double-coated dogs of ancient Japanese lineage famous for their dignity, courage, and loyalty. In their native land, they are venerated as family protectors and symbols of good health, happiness, and long life.","Courageous, Dignified, Profoundly Loyal",47,60.96,71.12,31.751465900000003,58.9670081,10,13,Working Group,0.8,Daily Brushing,0.6,Seasonal,0.8,Energetic,1,Eager to Please,0.6,Alert/Responsive
3,Very Low,House,Low,Limited,Expert,157,"Small, powerful, sturdily built, alert and an energetic worker, the Lancashire Heeler works cattle but has terrier instincts when rabbiting and ratting. They have a unique characteristic called the Heeler Smile; when content, Heelers have been known to draw back their lips in an effort that emulates a human smile. In 2003, the breed was placed on the Endangered Breeds list of The Kennel Club, U.K, due to the small number of dogs composing the gene pool and the risk of several inherited diseases. The United States Lancashire Heeler ClubName: Sheryl BradburyEmail: sherylbradbury@windstream.netPhone: 816-308-2424 The Lancashire Heeler is a medium to high energy dog. Intelligent, alert and friendly, they are quick to learn new tasks. A sturdy little dog with a short, weather-resistant coat of black and tan or liver and tan, they are affectionate with their owners, always happy, talkative, and always ready for a walk. Their small size is what gives them their charm.","Affectionate, Versatile, Intelligent",,25.4,30.48,4.082331330000001,7.71107029,12,15,Miscellaneous Class,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.8,Easy Training,0.8,Friendly
4,Very High,House,Very Low,Minimal,Expert,199,"Elegant, proud, graceful, cat-like and stunningly gorgeous, the Porcelaine is never shy or timid and always eager for a pat on the head or a hug. His nature makes him an excellent candidate for medical therapy, medical alert, medical service, police public relations, and search and rescue. The Porcelaine is primarily a hunting dog breed, originating from a mixture of highly intelligent French and English scent hounds. That said, you must remember that any breed with a high prey drive will require careful consideration in housing and handling. Another charming aspect of the breed is that they tend to be quiet indoors or in their kennel, but do have a beautiful melodious baying call. They are not nuisance barkers. The Porcelaine is elegant, energetic, and a fierce hunter; he is used for small game, driving it to waiting guns. He is very fond of his owners, family, friends and children and he loves to take part in all family activities. He excels as a house pet and is easily crate trained and housebroken.","Independent, Energetic, Powerful",,55.88,58.42,24.947580350000003,28.12272694,12,13,Foundation Stock Service,0.2,Occasional Bath/Brush,0,,0.8,Energetic,0,,0.6,Alert/Responsive
5,High,House,Very Low,Limited,Expert,192,"The hound with the curious name (we’ll get to that) and unique history (we’ll get to that, too) is a streamlined, long-tailed, light-footed hunter standing as high as 25 inches at the shoulder. The flashy coat comes in an array of brindle-stripe patterns, from black flecked with gold to flaming orange and russet, in addition to some solid colors. The medium-length ears hang gracefully, and the leather of the nose, lips, and eye rims are black, setting off an inquisitive and confident expression. The Plott Hound, a hound with a curious name and a unique history, is a rugged, relentless hunting dog who is a mellow gentleman at home but fearless, implacable, and bold at work. This eye-catching scenthound is North Carolina's state dog.","Loyal, Alert, Intelligent",171,50.8,63.5,18.143694800000002,27.2155422,12,14,Hound Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.4,Independent,0.6,Alert/Responsive
6,Very Low,Rural,Medium,Full-time,Experienced,13,"American Water Spaniels are muscular midsize gundogs, not flashy in looks or performance, and recognizable by a luscious brown coat that is either tightly curled or wavy. Bred to work the icy waters and marshy banks of the Great Lakes region, these spaniels are ideally outfitted for the job: The coat is dense and waterproof, the feet are thickly padded, the toes are webbed, and the body is small enough for the dog to hop in and out of a skiff without rocking the boat. The breed’s admirers describe a merry, intelligent, and versatile spaniel suited to a variety of dog sports. As hunters, they combine the working traits of spaniels and retrievers. The key to the American Water Spaniel’s happiness is activity, especially alongside their adored human. An underemployed dog can be barky and destructive. The American Water Spaniel, native to the lake country of the upper Midwest, is an upbeat, outdoorsy athlete who loves to hunt and swim. They are known to be happy, eager, and charming, though aloof with strangers and a bit stubborn.","Eager, Happy, Charming",166,38.1,45.72,11.33980925,20.41165665,10,14,Sporting Group,0.6,2-3 Times a Week Brushing,0.2,Infrequent,0.6,Regular Exercise,1,Eager to Please,0.8,Friendly
7,Moderate,Rural,Very Low,Full-time,Experienced,128,"Hamiltonstovare are most commonly multi-purpose dogs; they are hunters, show dogs, and pets, all in one regal and versatile little package. As a hound, they follow their nose wherever it goes (and will not return for a good long while), so leashes and fences are a necessity with this breed. Unlike most scent hounds though, the Hamiltonstovare has an extremely high prey drive for both scent and sight. They can make excellent lure coursing dogs. In the home, they are a lazy, low maintenance dog who rarely sheds. Very food motivated, they can be easy to train despite their hound stubbornness, but higher competitive obedience levels are not usually an option. The only major problem with this breed is accessibility; there is only one breeder of Hamiltonstovare in the United States. Unfortunately, Hamiltonstovare have a rescue problem in the US as well, and some can be found in rural shelters in Virginia, North Carolina, West Virginia, Kentucky, South Carolina and Tennessee. Club Contact DetailsClub: Hamiltonstovare Club of AmericaName: Ashley HammockEmail: OceaniaHamilton@hotmail.comAddress: 2311 Chapel Hill Rd, Goochland, Va 23063 The Hamiltonstovare is a versatile scent hound, bred to hunt hare and fox in Sweden. When not hunting, they can be found in the show ring, as their striking color makes them a stunning show dog. Hamiltons have been used as service dogs in America since the late 90s, where their versatility and close bond with their people shine.","Agile, Versatile, Regal",,48.26,60.96,18.143694800000002,34.01942775,14,17,Foundation Stock Service,0.2,Occasional Bath/Brush,0.2,Infrequent,0.8,Energetic,0.6,Agreeable,0.8,Friendly
8,Very Low,Apartment,Very High,Part-time,Expert,207,"First, there are those dreadlocks, the instantly recognizable feature of the Puli (pronounced “Poo-lee”—”Pulik” is the plural). The coat’s naturally occurring cords are wooly, dense, and weatherproof. Either corded or brushed out, Puli coats require lots of attention. Under the dreads there’s a compact but powerful dog, standing 16 to 17 inches at the shoulder. Pulik are remarkably agile and light on their feet, earning a reputation as the “acrobat of the dog world.” No other breed can be mistaken for the Puli, a compact but powerful herder covered from head to tail with profuse, naturally occurring cords. Bred to work closely with humans, these agile and faithful little dynamos are quick learners.","Loyal, Smart, Home-Loving",160,40.64,43.18,11.33980925,15.875732950000002,10,15,Herding Group,1,Specialty/Professional,0.2,Infrequent,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers
9,Moderate,Rural,Very Low,Minimal,Experienced,202,"The Portuguese Pointer is considered a medium-sized dog. As a sporting dog, they have quite a bit of energy, especially when young. Their affectionate nature is so intense that the Portuguese standard describes it as sometimes “inappropriate and inconvenient.” This breed is very hardy and is capable of great endurance and devotion. Calm and very sociable, they can be somewhat haughty towards other dogs. Curious by nature, they work with persistence and vivacity and are always a keen hunter that stays in close contact with his handler. Club Contact DetailsClub: Portuguese Pointer Club of AmericaName: Temple DaSilvaEmail: GreenFallsHollow@comcast.net The Portuguese Pointer is a very old hunting breed bred to work closely with its handler. They are enthusiastic in their work and very dedicated to their owner.","Affectionate, Smart, Energetic",,52.07,55.88,15.875732950000002,26.761949830000002,14,14,Foundation Stock Service,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,1,Eager to Please,0.8,Friendly
10,Low,Apartment,Low,Part-time,Expert,114,"Sleek, shiny, and streamlined, German Pinschers are a true dog lover’s delight. They’re eye-catching and elegant but in all ways honestly doggy—nothing fussy or exaggerated. They’ll stand about knee-high to the average adult. Muscles ripple beneath a shimmering coat of red or black-and-blue with red accents. There’s nobility in the elongated, wedge-shaped head, and the dark eyes are alert and eager. German Pinschers move with the kind of strong, free-and-easy gait that tells you this is a confident companion, up for anything the day might bring. The sleek, no-frills German Pinscher is among Germany’s oldest breeds and the prototype of other pinscher breeds. This energetic, super-intelligent dog was at first used as a rat catcher but can be trained for all types of canine work.","Courageous, Intelligent, Vivacious",134,43.18,50.8,11.33980925,20.41165665,12,14,Working Group,0.2,Occasional Bath/Brush,0.4,Occasional,1,Needs Lots of Activity,0.6,Agreeable,0.6,Alert/Responsive
